Temperature (K)	Pressure (atm)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Surf. Tension (N/m)	Phase
369.76	0.88574	0.96076	10.408	404.78	404.87	12.688	37.858	42.119	1546.0	-0.032865	291.93	0.67585	0.059563	liquid
370.38	0.90605	0.96032	10.413	407.40	407.50	12.759	37.826	42.126	1545.5	-0.032798	289.97	0.67612	0.059443	liquid
371.01	0.92674	0.95988	10.418	410.03	410.13	12.829	37.793	42.133	1545.0	-0.032731	288.04	0.67637	0.059324	liquid
371.63	0.94782	0.95943	10.423	412.65	412.75	12.900	37.761	42.140	1544.5	-0.032664	286.14	0.67662	0.059204	liquid
372.25	0.96930	0.95899	10.428	415.28	415.38	12.971	37.728	42.147	1543.9	-0.032597	284.25	0.67687	0.059085	liquid
372.88	0.99118	0.95855	10.432	417.91	418.01	13.041	37.696	42.154	1543.4	-0.032529	282.39	0.67711	0.058965	liquid
373.50	10.135	0.95810	10.437	420.53	420.64	13.112	37.663	42.161	1542.8	-0.032461	280.55	0.67734	0.058844	liquid
374.12	10.362	0.95765	10.442	423.16	423.27	13.182	37.631	42.168	1542.3	-0.032393	278.73	0.67757	0.058724	liquid
374.75	10.593	0.95720	10.447	425.79	425.90	13.252	37.599	42.175	1541.7	-0.032325	276.94	0.67780	0.058604	liquid
375.37	10.828	0.95675	10.452	428.42	428.53	13.322	37.567	42.183	1541.1	-0.032257	275.16	0.67802	0.058483	liquid
375.99	11.068	0.95629	10.457	431.04	431.16	13.392	37.534	42.190	1540.5	-0.032188	273.40	0.67823	0.058362	liquid
376.62	11.312	0.95583	10.462	433.67	433.79	13.462	37.502	42.198	1539.9	-0.032119	271.67	0.67844	0.058241	liquid
377.24	11.561	0.95538	10.467	436.30	436.43	13.532	37.470	42.206	1539.3	-0.032050	269.95	0.67865	0.058120	liquid
377.86	11.814	0.95492	10.472	438.93	439.06	13.601	37.438	42.213	1538.7	-0.031981	268.26	0.67885	0.057999	liquid
378.49	12.071	0.95446	10.477	441.56	441.69	13.671	37.406	42.221	1538.1	-0.031912	266.58	0.67904	0.057877	liquid
379.11	12.334	0.95399	10.482	444.19	444.32	13.740	37.374	42.229	1537.4	-0.031842	264.92	0.67923	0.057755	liquid
379.73	12.600	0.95353	10.487	446.82	446.96	13.810	37.342	42.237	1536.7	-0.031772	263.28	0.67942	0.057634	liquid
380.35	12.872	0.95306	10.493	449.46	449.59	13.879	37.310	42.245	1536.1	-0.031702	261.66	0.67960	0.057511	liquid
380.98	13.149	0.95259	10.498	452.09	452.23	13.948	37.278	42.254	1535.4	-0.031632	260.06	0.67977	0.057389	liquid
381.60	13.430	0.95212	10.503	454.72	454.86	14.017	37.246	42.262	1534.7	-0.031561	258.47	0.67994	0.057267	liquid
382.22	13.716	0.95165	10.508	457.35	457.50	14.086	37.214	42.271	1534.0	-0.031490	256.91	0.68011	0.057144	liquid
382.85	14.007	0.95118	10.513	459.99	460.14	14.155	37.182	42.279	1533.3	-0.031419	255.36	0.68027	0.057022	liquid
383.47	14.304	0.95070	10.519	462.62	462.77	14.224	37.150	42.288	1532.5	-0.031348	253.82	0.68043	0.056899	liquid
384.09	14.605	0.95023	10.524	465.26	465.41	14.292	37.118	42.297	1531.8	-0.031276	252.31	0.68058	0.056776	liquid
384.72	14.912	0.94975	10.529	467.89	468.05	14.361	37.087	42.305	1531.1	-0.031204	250.81	0.68072	0.056652	liquid
385.34	15.224	0.94927	10.534	470.53	470.69	14.429	37.055	42.314	1530.3	-0.031132	249.32	0.68087	0.056529	liquid
385.96	15.541	0.94879	10.540	473.16	473.33	14.498	37.023	42.323	1529.5	-0.031060	247.86	0.68100	0.056405	liquid
386.59	15.864	0.94830	10.545	475.80	475.97	14.566	36.992	42.332	1528.7	-0.030987	246.41	0.68114	0.056282	liquid
387.21	16.192	0.94782	10.551	478.44	478.61	14.634	36.960	42.342	1528.0	-0.030914	244.97	0.68126	0.056158	liquid
387.83	16.526	0.94733	10.556	481.08	481.25	14.702	36.929	42.351	1527.2	-0.030841	243.55	0.68139	0.056034	liquid
388.46	16.865	0.94684	10.561	483.71	483.89	14.770	36.897	42.361	1526.3	-0.030767	242.15	0.68150	0.055909	liquid
389.08	17.210	0.94635	10.567	486.35	486.54	14.838	36.866	42.370	1525.5	-0.030693	240.76	0.68162	0.055785	liquid
389.70	17.561	0.94586	10.572	488.99	489.18	14.906	36.835	42.380	1524.7	-0.030619	239.38	0.68173	0.055660	liquid
390.33	17.917	0.94536	10.578	491.63	491.83	14.974	36.803	42.390	1523.8	-0.030545	238.02	0.68183	0.055535	liquid
390.95	18.280	0.94487	10.583	494.27	494.47	15.041	36.772	42.399	1523.0	-0.030470	236.67	0.68193	0.055411	liquid
