Temperature (K)	Pressure (atm)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
512.48	32.644	0.016550	60.423	2603.2	2803.0	61.470	23.738	37.376	503.41	31.959	17.038	0.047345	vapor
513.10	33.004	0.016735	59.756	2603.1	2803.0	61.426	23.790	37.525	503.32	31.795	17.060	0.047512	vapor
513.73	33.367	0.016921	59.097	2603.1	2802.9	61.383	23.843	37.675	503.24	31.632	17.083	0.047679	vapor
514.35	33.733	0.017109	58.447	2603.1	2802.8	61.339	23.895	37.826	503.15	31.470	17.106	0.047848	vapor
514.97	34.103	0.017300	57.805	2603.0	2802.7	61.295	23.948	37.979	503.06	31.309	17.128	0.048017	vapor
515.60	34.475	0.017491	57.171	2603.0	2802.7	61.251	24.001	38.133	502.97	31.149	17.151	0.048188	vapor
516.22	34.850	0.017685	56.545	2602.9	2802.6	61.207	24.054	38.288	502.87	30.991	17.174	0.048359	vapor
516.84	35.229	0.017880	55.927	2602.8	2802.5	61.164	24.108	38.444	502.77	30.833	17.196	0.048531	vapor
517.46	35.611	0.018078	55.316	2602.8	2802.4	61.120	24.161	38.602	502.67	30.676	17.219	0.048705	vapor
518.09	35.996	0.018277	54.713	2602.7	2802.2	61.076	24.214	38.761	502.57	30.520	17.242	0.048879	vapor
518.71	36.384	0.018478	54.118	2602.6	2802.1	61.032	24.268	38.921	502.46	30.365	17.265	0.049055	vapor
519.33	36.775	0.018681	53.530	2602.5	2802.0	60.989	24.322	39.083	502.35	30.211	17.288	0.049232	vapor
519.96	37.170	0.018886	52.949	2602.4	2801.8	60.945	24.376	39.246	502.24	30.058	17.311	0.049409	vapor
520.58	37.568	0.019093	52.375	2602.3	2801.7	60.901	24.430	39.411	502.12	29.906	17.334	0.049588	vapor
521.20	37.969	0.019302	51.808	2602.2	2801.5	60.857	24.484	39.577	502.01	29.754	17.357	0.049768	vapor
521.83	38.373	0.019513	51.249	2602.1	2801.3	60.814	24.539	39.745	501.89	29.604	17.380	0.049949	vapor
522.45	38.780	0.019726	50.696	2601.9	2801.1	60.770	24.593	39.914	501.76	29.455	17.403	0.050131	vapor
523.07	39.191	0.019940	50.149	2601.8	2801.0	60.726	24.648	40.084	501.64	29.306	17.426	0.050314	vapor
523.70	39.606	0.020157	49.610	2601.7	2800.8	60.682	24.703	40.257	501.51	29.159	17.450	0.050498	vapor
524.32	40.023	0.020376	49.077	2601.5	2800.6	60.638	24.758	40.430	501.38	29.012	17.473	0.050684	vapor
524.94	40.444	0.020597	48.550	2601.4	2800.3	60.595	24.813	40.606	501.24	28.867	17.496	0.050871	vapor
525.57	40.868	0.020821	48.030	2601.2	2800.1	60.551	24.868	40.783	501.11	28.722	17.520	0.051058	vapor
526.19	41.296	0.021046	47.515	2601.1	2799.9	60.507	24.924	40.961	500.97	28.578	17.543	0.051248	vapor
526.81	41.727	0.021273	47.008	2600.9	2799.6	60.463	24.980	41.142	500.82	28.435	17.567	0.051438	vapor
527.44	42.162	0.021503	46.506	2600.7	2799.4	60.419	25.035	41.324	500.68	28.293	17.590	0.051629	vapor
528.06	42.600	0.021734	46.010	2600.5	2799.1	60.375	25.091	41.507	500.53	28.151	17.614	0.051822	vapor
528.68	43.041	0.021968	45.520	2600.3	2798.8	60.331	25.147	41.693	500.38	28.011	17.638	0.052016	vapor
