Temperature (K)	Pressure (atm)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
273.16	0.0060366	4,85E-02	2,06E+09	2374.9	2500.9	91.555	14.184	18.844	409.00	108.09	89.458	0.016761	vapor
273.78	0.0063155	5,07E-02	1,97E+09	2375.8	2502.1	91.388	14.189	18.850	409.45	105.96	89.636	0.016801	vapor
274.41	0.0066058	5,29E-02	1,89E+09	2376.6	2503.2	91.223	14.194	18.856	409.90	103.88	89.815	0.016841	vapor
275.03	0.0069078	5,52E-02	1,81E+09	2377.5	2504.3	91.058	14.199	18.862	410.35	101.84	89.995	0.016881	vapor
275.65	0.0072220	5,76E-02	1,74E+09	2378.4	2505.5	90.895	14.205	18.868	410.80	99.839	90.175	0.016921	vapor
276.28	0.0075488	6,00E-02	1,67E+09	2379.2	2506.6	90.732	14.210	18.875	411.25	97.884	90.356	0.016961	vapor
276.90	0.0078887	6,26E-02	1,60E+09	2380.1	2507.8	90.570	14.215	18.881	411.70	95.970	90.537	0.017002	vapor
277.52	0.0082419	6,52E-02	1,53E+09	2380.9	2508.9	90.409	14.220	18.888	412.15	94.098	90.719	0.017042	vapor
278.15	0.0086091	6,80E-02	1,47E+09	2381.8	2510.1	90.249	14.226	18.894	412.60	92.265	90.901	0.017083	vapor
278.77	0.0089907	7,09E-02	1,41E+09	2382.6	2511.2	90.090	14.231	18.901	413.04	90.472	91.084	0.017124	vapor
279.39	0.0093871	7,38E-02	1,35E+09	2383.5	2512.3	89.932	14.236	18.907	413.49	88.718	91.267	0.017164	vapor
280.02	0.0097989	7,69E-02	1,30E+09	2384.3	2513.5	89.775	14.242	18.914	413.94	87.002	91.451	0.017205	vapor
280.64	0.010227	8,01E-02	1,25E+09	2385.2	2514.6	89.619	14.247	18.920	414.38	85.323	91.636	0.017246	vapor
281.26	0.010671	8,34E-02	1,20E+09	2386.1	2515.8	89.463	14.253	18.927	414.82	83.681	91.821	0.017287	vapor
281.89	0.011132	8,68E-02	1,15E+09	2386.9	2516.9	89.309	14.258	18.933	415.27	82.075	92.006	0.017328	vapor
282.51	0.011610	9,03E-02	1,11E+09	2387.8	2518.0	89.155	14.264	18.940	415.71	80.504	92.192	0.017370	vapor
283.13	0.012106	9,40E-02	1,06E+09	2388.6	2519.2	89.002	14.269	18.947	416.15	78.967	92.379	0.017411	vapor
283.75	0.012622	9,77E-02	1,02E+09	2389.5	2520.3	88.850	14.274	18.954	416.60	77.465	92.566	0.017452	vapor
284.38	0.013156	1,02E-01	98365.	2390.3	2521.5	88.699	14.280	18.960	417.04	75.995	92.753	0.017494	vapor
285.00	0.013710	1,06E-01	94594.	2391.2	2522.6	88.549	14.285	18.967	417.48	74.558	92.941	0.017535	vapor
285.62	0.014284	1,10E-01	90986.	2392.0	2523.7	88.399	14.291	18.974	417.92	73.153	93.130	0.017577	vapor
286.25	0.014880	1,14E-01	87533.	2392.9	2524.9	88.251	14.297	18.981	418.36	71.780	93.319	0.017619	vapor
286.87	0.015497	1,19E-01	84227.	2393.7	2526.0	88.103	14.302	18.988	418.79	70.437	93.508	0.017661	vapor
287.49	0.016137	1,23E-01	81062.	2394.6	2527.1	87.956	14.308	18.995	419.23	69.124	93.698	0.017703	vapor
288.12	0.016800	1,28E-01	78030.	2395.4	2528.3	87.810	14.313	19.002	419.67	67.840	93.888	0.017745	vapor
288.74	0.017486	1,33E-01	75127.	2396.3	2529.4	87.665	14.319	19.009	420.11	66.585	94.079	0.017787	vapor
289.36	0.018197	1,38E-01	72345.	2397.2	2530.5	87.520	14.324	19.016	420.54	65.359	94.270	0.017829	vapor
289.99	0.018933	1,44E-01	69679.	2398.0	2531.7	87.377	14.330	19.023	420.98	64.160	94.462	0.017871	vapor
290.61	0.019696	1,49E-01	67125.	2398.9	2532.8	87.234	14.336	19.030	421.41	62.987	94.654	0.017914	vapor
291.23	0.020485	1,55E-01	64675.	2399.7	2533.9	87.092	14.341	19.037	421.85	61.842	94.846	0.017956	vapor
291.86	0.021301	1,60E-01	62327.	2400.6	2535.1	86.951	14.347	19.044	422.28	60.722	95.039	0.017999	vapor
292.48	0.022146	1,66E-01	60075.	2401.4	2536.2	86.810	14.353	19.051	422.71	59.627	95.232	0.018041	vapor
293.10	0.023021	1,73E-01	57915.	2402.3	2537.3	86.670	14.358	19.058	423.15	58.557	95.426	0.018084	vapor
293.73	0.023925	1,79E-01	55843.	2403.1	2538.5	86.531	14.364	19.066	423.58	57.511	95.620	0.018127	vapor
294.35	0.024860	1,86E-01	53854.	2404.0	2539.6	86.393	14.370	19.073	424.01	56.489	95.815	0.018170	vapor
294.97	0.025827	1,93E-01	51946.	2404.8	2540.7	86.256	14.376	19.080	424.44	55.490	96.010	0.018213	vapor
295.60	0.026827	2,00E-01	50114.	2405.7	2541.9	86.119	14.381	19.088	424.87	54.513	96.205	0.018256	vapor
296.22	0.027860	2,07E-01	48355.	2406.5	2543.0	85.983	14.387	19.095	425.30	53.559	96.401	0.018299	vapor
296.84	0.028928	2,14E-01	46667.	2407.4	2544.1	85.848	14.393	19.103	425.73	52.626	96.597	0.018342	vapor
297.47	0.030031	2,22E-01	45045.	2408.2	2545.3	85.713	14.399	19.110	426.16	51.714	96.793	0.018386	vapor
298.09	0.031171	2,30E-01	43486.	2409.0	2546.4	85.580	14.404	19.117	426.58	50.823	96.990	0.018429	vapor
298.71	0.032349	2,38E-01	41989.	2409.9	2547.5	85.446	14.410	19.125	427.01	49.952	97.187	0.018473	vapor
299.34	0.033565	2,47E-01	40551.	2410.7	2548.7	85.314	14.416	19.133	427.44	49.100	97.385	0.018516	vapor
299.96	0.034821	2,55E-01	39168.	2411.6	2549.8	85.183	14.422	19.140	427.86	48.268	97.583	0.018560	vapor
300.58	0.036118	2,64E-01	37839.	2412.4	2550.9	85.052	14.428	19.148	428.29	47.455	97.781	0.018604	vapor
301.21	0.037456	2,74E-01	36561.	2413.3	2552.0	84.921	14.434	19.156	428.71	46.660	97.980	0.018648	vapor
301.83	0.038838	2,83E-01	35332.	2414.1	2553.2	84.792	14.440	19.163	429.13	45.882	98.179	0.018692	vapor
302.45	0.040263	2,93E-01	34150.	2415.0	2554.3	84.663	14.446	19.171	429.56	45.122	98.378	0.018736	vapor
303.07	0.041734	3,03E-01	33012.	2415.8	2555.4	84.535	14.452	19.179	429.98	44.380	98.577	0.018780	vapor
303.70	0.043251	3,13E-01	31918.	2416.7	2556.5	84.408	14.458	19.187	430.40	43.653	98.777	0.018825	vapor
304.32	0.044816	3,24E-01	30865.	2417.5	2557.7	84.281	14.464	19.195	430.82	42.944	98.978	0.018869	vapor
304.94	0.046430	3,35E-01	29852.	2418.3	2558.8	84.155	14.470	19.203	431.24	42.249	99.178	0.018914	vapor
305.57	0.048095	3,46E-01	28877.	2419.2	2559.9	84.029	14.476	19.211	431.66	41.571	99.379	0.018958	vapor
306.19	0.049810	3,58E-01	27937.	2420.0	2561.0	83.905	14.482	19.219	432.08	40.907	99.581	0.019003	vapor
306.81	0.051579	3,70E-01	27033.	2420.9	2562.1	83.781	14.488	19.227	432.50	40.259	99.782	0.019048	vapor
307.44	0.053402	3,82E-01	26162.	2421.7	2563.3	83.657	14.494	19.236	432.92	39.624	99.984	0.019093	vapor
308.06	0.055280	3,95E-01	25323.	2422.5	2564.4	83.534	14.500	19.244	433.33	39.004	10.019	0.019138	vapor
308.68	0.057216	4,08E-01	24515.	2423.4	2565.5	83.412	14.507	19.252	433.75	38.397	10.039	0.019183	vapor
309.31	0.059209	4,21E-01	23736.	2424.2	2566.6	83.291	14.513	19.261	434.17	37.804	10.059	0.019228	vapor
309.93	0.061263	4,35E-01	22985.	2425.1	2567.7	83.170	14.519	19.269	434.58	37.224	10.079	0.019273	vapor
310.55	0.063378	4,49E-01	22261.	2425.9	2568.9	83.050	14.526	19.278	434.99	36.656	10.100	0.019319	vapor
311.18	0.065556	4,64E-01	21564.	2426.7	2570.0	82.930	14.532	19.286	435.41	36.101	10.120	0.019364	vapor
311.80	0.067798	4,79E-01	20891.	2427.6	2571.1	82.811	14.538	19.295	435.82	35.558	10.141	0.019410	vapor
312.42	0.070107	4,94E-01	20242.	2428.4	2572.2	82.693	14.545	19.304	436.23	35.027	10.161	0.019456	vapor
313.05	0.072482	5,10E-01	19617.	2429.3	2573.3	82.575	14.551	19.313	436.64	34.507	10.181	0.019502	vapor
313.67	0.074928	5,26E-01	19013.	2430.1	2574.4	82.458	14.558	19.322	437.05	33.999	10.202	0.019548	vapor
314.29	0.077443	5,43E-01	18431.	2430.9	2575.6	82.341	14.564	19.331	437.46	33.501	10.222	0.019594	vapor
314.92	0.080032	5,60E-01	17869.	2431.8	2576.7	82.225	14.571	19.340	437.87	33.014	10.243	0.019640	vapor
315.54	0.082695	5,77E-01	17327.	2432.6	2577.8	82.110	14.578	19.349	438.28	32.538	10.264	0.019686	vapor
316.16	0.085433	5,95E-01	16804.	2433.4	2578.9	81.995	14.584	19.358	438.69	32.071	10.284	0.019733	vapor
316.79	0.088250	6,14E-01	16298.	2434.3	2580.0	81.881	14.591	19.367	439.10	31.615	10.305	0.019779	vapor
317.41	0.091146	6,33E-01	15810.	2435.1	2581.1	81.768	14.598	19.377	439.50	31.168	10.325	0.019826	vapor
318.03	0.094124	6,52E-01	15339.	2435.9	2582.2	81.655	14.605	19.386	439.91	30.731	10.346	0.019873	vapor
318.66	0.097185	6,72E-01	14884.	2436.8	2583.3	81.542	14.612	19.396	440.31	30.303	10.367	0.019919	vapor
319.28	0.10033	6,92E-01	14445.	2437.6	2584.4	81.430	14.619	19.405	440.72	29.884	10.387	0.019966	vapor
319.90	0.10356	7,13E-01	14020.	2438.4	2585.5	81.319	14.626	19.415	441.12	29.474	10.408	0.020014	vapor
320.53	0.10689	7,35E-01	13610.	2439.2	2586.6	81.208	14.633	19.425	441.52	29.072	10.429	0.020061	vapor
321.15	0.11030	7,57E-01	13213.	2440.1	2587.7	81.098	14.640	19.435	441.92	28.678	10.450	0.020108	vapor
321.77	0.11381	7,79E-01	12830.	2440.9	2588.9	80.989	14.647	19.445	442.33	28.293	10.470	0.020155	vapor
322.39	0.11741	8,03E-01	12459.	2441.7	2590.0	80.880	14.654	19.455	442.73	27.916	10.491	0.020203	vapor
323.02	0.12111	8,26E-01	12101.	2442.6	2591.1	80.771	14.661	19.465	443.12	27.546	10.512	0.020251	vapor
323.64	0.12491	8,51E-01	11755.	2443.4	2592.2	80.663	14.669	19.476	443.52	27.184	10.533	0.020298	vapor
324.26	0.12881	8,76E-01	11420.	2444.2	2593.3	80.556	14.676	19.486	443.92	26.829	10.554	0.020346	vapor
324.89	0.13281	9,01E-01	11096.	2445.0	2594.4	80.449	14.684	19.497	444.32	26.481	10.575	0.020394	vapor
325.51	0.13692	9,27E-01	10783.	2445.9	2595.5	80.343	14.691	19.507	444.71	26.141	10.596	0.020443	vapor
326.13	0.14114	9,54E-01	10479.	2446.7	2596.6	80.237	14.699	19.518	445.11	25.807	10.617	0.020491	vapor
326.76	0.14547	9,82E-01	10186.	2447.5	2597.6	80.132	14.707	19.529	445.50	25.479	10.637	0.020539	vapor
327.38	0.14992	0.00010099	9902.2	2448.3	2598.7	80.027	14.714	19.540	445.90	25.159	10.658	0.020588	vapor
328.00	0.15447	0.00010387	9627.4	2449.1	2599.8	79.923	14.722	19.551	446.29	24.844	10.679	0.020636	vapor
328.63	0.15915	0.00010682	9361.4	2450.0	2600.9	79.819	14.730	19.562	446.68	24.536	10.700	0.020685	vapor
329.25	0.16395	0.00010984	9103.9	2450.8	2602.0	79.716	14.738	19.574	447.07	24.234	10.722	0.020734	vapor
329.87	0.16887	0.00011294	8854.6	2451.6	2603.1	79.613	14.746	19.585	447.46	23.938	10.743	0.020783	vapor
330.50	0.17391	0.00011610	8613.2	2452.4	2604.2	79.511	14.754	19.597	447.85	23.647	10.764	0.020832	vapor
331.12	0.17909	0.00011934	8379.3	2453.2	2605.3	79.409	14.762	19.608	448.24	23.362	10.785	0.020882	vapor
331.74	0.18439	0.00012266	8152.8	2454.1	2606.4	79.308	14.770	19.620	448.63	23.083	10.806	0.020931	vapor
332.37	0.18983	0.00012605	7933.4	2454.9	2607.5	79.207	14.779	19.632	449.02	22.809	10.827	0.020981	vapor
332.99	0.19540	0.00012952	7720.8	2455.7	2608.6	79.107	14.787	19.644	449.40	22.540	10.848	0.021030	vapor
333.61	0.20111	0.00013307	7514.8	2456.5	2609.6	79.007	14.796	19.657	449.79	22.276	10.869	0.021080	vapor
334.24	0.20697	0.00013670	7315.2	2457.3	2610.7	78.908	14.804	19.669	450.17	22.017	10.890	0.021130	vapor
334.86	0.21296	0.00014042	7121.7	2458.1	2611.8	78.809	14.813	19.682	450.56	21.763	10.912	0.021180	vapor
335.48	0.21911	0.00014422	6934.1	2458.9	2612.9	78.711	14.822	19.694	450.94	21.514	10.933	0.021230	vapor
336.11	0.22540	0.00014810	6752.2	2459.8	2614.0	78.613	14.831	19.707	451.32	21.269	10.954	0.021281	vapor
336.73	0.23185	0.00015207	6575.9	2460.6	2615.0	78.516	14.839	19.720	451.70	21.029	10.975	0.021331	vapor
337.35	0.23846	0.00015613	6404.9	2461.4	2616.1	78.419	14.849	19.733	452.08	20.793	10.996	0.021382	vapor
337.98	0.24522	0.00016028	6239.1	2462.2	2617.2	78.323	14.858	19.746	452.46	20.561	11.018	0.021433	vapor
338.60	0.25214	0.00016452	6078.2	2463.0	2618.3	78.227	14.867	19.760	452.84	20.334	11.039	0.021484	vapor
339.22	0.25924	0.00016886	5922.2	2463.8	2619.4	78.131	14.876	19.773	453.21	20.111	11.060	0.021535	vapor
339.85	0.26649	0.00017329	5770.8	2464.6	2620.4	78.036	14.885	19.787	453.59	19.892	11.082	0.021586	vapor
340.47	0.27392	0.00017781	5623.9	2465.4	2621.5	77.942	14.895	19.801	453.97	19.676	11.103	0.021637	vapor
341.09	0.28153	0.00018244	5481.3	2466.2	2622.6	77.848	14.905	19.815	454.34	19.465	11.124	0.021689	vapor
341.71	0.28931	0.00018716	5342.9	2467.0	2623.6	77.754	14.914	19.829	454.71	19.257	11.146	0.021741	vapor
342.34	0.29728	0.00019199	5208.6	2467.8	2624.7	77.661	14.924	19.843	455.09	19.053	11.167	0.021792	vapor
342.96	0.30543	0.00019692	5078.2	2468.6	2625.8	77.568	14.934	19.858	455.46	18.853	11.188	0.021844	vapor
343.58	0.31376	0.00020195	4951.7	2469.4	2626.8	77.476	14.944	19.872	455.83	18.656	11.210	0.021897	vapor
344.21	0.32229	0.00020709	4828.7	2470.2	2627.9	77.384	14.954	19.887	456.20	18.462	11.231	0.021949	vapor
344.83	0.33102	0.00021234	4709.4	2471.0	2629.0	77.292	14.964	19.902	456.57	18.272	11.252	0.022001	vapor
345.45	0.33994	0.00021770	4593.5	2471.8	2630.0	77.201	14.974	19.917	456.93	18.085	11.274	0.022054	vapor
346.08	0.34906	0.00022317	4480.9	2472.6	2631.1	77.110	14.985	19.933	457.30	17.901	11.295	0.022107	vapor
346.70	0.35839	0.00022876	4371.5	2473.4	2632.1	77.020	14.995	19.948	457.67	17.720	11.317	0.022160	vapor
347.32	0.36793	0.00023446	4265.2	2474.2	2633.2	76.930	15.006	19.964	458.03	17.542	11.338	0.022213	vapor
347.95	0.37769	0.00024027	4161.9	2475.0	2634.3	76.841	15.017	19.980	458.39	17.367	11.360	0.022266	vapor
348.57	0.38766	0.00024621	4061.6	2475.8	2635.3	76.752	15.027	19.996	458.76	17.195	11.381	0.022319	vapor
349.19	0.39785	0.00025227	3964.0	2476.6	2636.4	76.663	15.038	20.012	459.12	17.026	11.402	0.022373	vapor
349.82	0.40826	0.00025845	3869.2	2477.4	2637.4	76.575	15.049	20.029	459.48	16.860	11.424	0.022427	vapor
350.44	0.41891	0.00026475	3777.1	2478.1	2638.5	76.488	15.061	20.045	459.84	16.697	11.445	0.022480	vapor
351.06	0.42978	0.00027119	3687.5	2478.9	2639.5	76.400	15.072	20.062	460.20	16.536	11.467	0.022535	vapor
351.69	0.44090	0.00027775	3600.4	2479.7	2640.6	76.313	15.083	20.079	460.55	16.377	11.488	0.022589	vapor
352.31	0.45225	0.00028444	3515.7	2480.5	2641.6	76.227	15.095	20.096	460.91	16.222	11.510	0.022643	vapor
352.93	0.46385	0.00029126	3433.3	2481.3	2642.7	76.140	15.106	20.114	461.27	16.068	11.531	0.022698	vapor
353.56	0.47570	0.00029822	3353.2	2482.1	2643.7	76.055	15.118	20.131	461.62	15.918	11.553	0.022753	vapor
354.18	0.48779	0.00030532	3275.3	2482.9	2644.7	75.969	15.130	20.149	461.97	15.769	11.574	0.022807	vapor
354.80	0.50015	0.00031256	3199.4	2483.6	2645.8	75.884	15.142	20.167	462.33	15.623	11.596	0.022863	vapor
355.43	0.51277	0.00031993	3125.7	2484.4	2646.8	75.800	15.154	20.185	462.68	15.479	11.618	0.022918	vapor
356.05	0.52565	0.00032745	3053.9	2485.2	2647.8	75.715	15.167	20.204	463.03	15.338	11.639	0.022973	vapor
356.67	0.53881	0.00033511	2984.1	2486.0	2648.9	75.631	15.179	20.222	463.38	15.198	11.661	0.023029	vapor
357.30	0.55224	0.00034293	2916.1	2486.7	2649.9	75.548	15.192	20.241	463.72	15.061	11.682	0.023085	vapor
357.92	0.56595	0.00035089	2849.9	2487.5	2650.9	75.465	15.204	20.260	464.07	14.926	11.704	0.023141	vapor
358.54	0.57994	0.00035900	2785.5	2488.3	2652.0	75.382	15.217	20.280	464.42	14.792	11.725	0.023197	vapor
359.17	0.59422	0.00036726	2722.8	2489.1	2653.0	75.300	15.230	20.299	464.76	14.661	11.747	0.023253	vapor
359.79	0.60879	0.00037569	2661.8	2489.8	2654.0	75.218	15.243	20.319	465.10	14.532	11.769	0.023310	vapor
360.41	0.62366	0.00038427	2602.4	2490.6	2655.1	75.136	15.256	20.339	465.45	14.405	11.790	0.023367	vapor
361.03	0.63883	0.00039301	2544.5	2491.4	2656.1	75.055	15.270	20.359	465.79	14.279	11.812	0.023424	vapor
361.66	0.65431	0.00040191	2488.1	2492.1	2657.1	74.974	15.283	20.379	466.13	14.156	11.833	0.023481	vapor
362.28	0.67010	0.00041098	2433.2	2492.9	2658.1	74.893	15.297	20.400	466.47	14.034	11.855	0.023538	vapor
362.90	0.68621	0.00042022	2379.7	2493.7	2659.1	74.813	15.310	20.421	466.81	13.914	11.877	0.023596	vapor
363.53	0.70264	0.00042962	2327.6	2494.4	2660.1	74.733	15.324	20.442	467.14	13.796	11.898	0.023653	vapor
364.15	0.71940	0.00043920	2276.9	2495.2	2661.2	74.653	15.338	20.464	467.48	13.679	11.920	0.023711	vapor
364.77	0.73648	0.00044895	2227.4	2496.0	2662.2	74.574	15.353	20.485	467.81	13.565	11.941	0.023769	vapor
365.40	0.75391	0.00045888	2179.2	2496.7	2663.2	74.495	15.367	20.507	468.15	13.451	11.963	0.023828	vapor
366.02	0.77167	0.00046899	2132.2	2497.5	2664.2	74.417	15.381	20.529	468.48	13.340	11.985	0.023886	vapor
366.64	0.78979	0.00047928	2086.5	2498.2	2665.2	74.338	15.396	20.551	468.81	13.230	12.006	0.023945	vapor
367.27	0.80825	0.00048975	2041.8	2499.0	2666.2	74.260	15.411	20.574	469.14	13.121	12.028	0.024004	vapor
367.89	0.82708	0.00050041	1998.3	2499.7	2667.2	74.183	15.426	20.597	469.47	13.014	12.050	0.024063	vapor
368.51	0.84626	0.00051126	1955.9	2500.5	2668.2	74.106	15.441	20.620	469.80	12.908	12.071	0.024122	vapor
369.14	0.86581	0.00052230	1914.6	2501.2	2669.2	74.029	15.456	20.643	470.12	12.804	12.093	0.024182	vapor
369.76	0.88574	0.00053354	1874.3	2502.0	2670.2	73.952	15.472	20.667	470.45	12.702	12.114	0.024241	vapor
370.38	0.90605	0.00054497	1835.0	2502.7	2671.2	73.876	15.487	20.691	470.77	12.600	12.136	0.024301	vapor
371.01	0.92674	0.00055661	1796.6	2503.5	2672.2	73.800	15.503	20.715	471.09	12.500	12.158	0.024362	vapor
371.63	0.94782	0.00056844	1759.2	2504.2	2673.2	73.724	15.519	20.740	471.42	12.402	12.179	0.024422	vapor
372.25	0.96930	0.00058048	1722.7	2505.0	2674.2	73.649	15.535	20.764	471.74	12.304	12.201	0.024483	vapor
372.88	0.99118	0.00059272	1687.1	2505.7	2675.1	73.574	15.551	20.789	472.06	12.208	12.223	0.024543	vapor
373.50	10.135	0.00060518	1652.4	2506.4	2676.1	73.499	15.568	20.815	472.37	12.113	12.244	0.024605	vapor
374.12	10.362	0.00061785	1618.5	2507.2	2677.1	73.425	15.584	20.840	472.69	12.020	12.266	0.024666	vapor
374.75	10.593	0.00063073	1585.5	2507.9	2678.1	73.351	15.601	20.866	473.01	11.927	12.288	0.024727	vapor
375.37	10.828	0.00064384	1553.2	2508.6	2679.1	73.277	15.618	20.892	473.32	11.836	12.309	0.024789	vapor
375.99	11.068	0.00065716	1521.7	2509.4	2680.0	73.204	15.635	20.919	473.63	11.746	12.331	0.024851	vapor
376.62	11.312	0.00067071	1491.0	2510.1	2681.0	73.130	15.652	20.945	473.94	11.657	12.353	0.024913	vapor
377.24	11.561	0.00068448	1461.0	2510.8	2682.0	73.058	15.669	20.972	474.25	11.570	12.374	0.024976	vapor
377.86	11.814	0.00069848	1431.7	2511.6	2682.9	72.985	15.687	21.000	474.56	11.483	12.396	0.025038	vapor
378.49	12.071	0.00071272	1403.1	2512.3	2683.9	72.913	15.705	21.027	474.87	11.397	12.417	0.025101	vapor
379.11	12.334	0.00072719	1375.2	2513.0	2684.9	72.841	15.723	21.055	475.18	11.313	12.439	0.025164	vapor
379.73	12.600	0.00074190	1347.9	2513.7	2685.8	72.769	15.741	21.083	475.48	11.229	12.461	0.025228	vapor
380.35	12.872	0.00075685	1321.3	2514.5	2686.8	72.698	15.759	21.112	475.79	11.147	12.482	0.025291	vapor
380.98	13.149	0.00077204	1295.3	2515.2	2687.7	72.626	15.778	21.141	476.09	11.065	12.504	0.025355	vapor
381.60	13.430	0.00078748	1269.9	2515.9	2688.7	72.556	15.796	21.170	476.39	10.985	12.526	0.025419	vapor
382.22	13.716	0.00080317	1245.1	2516.6	2689.7	72.485	15.815	21.199	476.69	10.905	12.547	0.025483	vapor
382.85	14.007	0.00081911	1220.8	2517.3	2690.6	72.415	15.834	21.229	476.99	10.826	12.569	0.025548	vapor
383.47	14.304	0.00083531	1197.2	2518.0	2691.5	72.345	15.853	21.259	477.29	10.749	12.591	0.025613	vapor
384.09	14.605	0.00085176	1174.0	2518.8	2692.5	72.275	15.873	21.290	477.58	10.672	12.612	0.025678	vapor
384.72	14.912	0.00086848	1151.4	2519.5	2693.4	72.206	15.892	21.320	477.88	10.596	12.634	0.025743	vapor
385.34	15.224	0.00088547	1129.3	2520.2	2694.4	72.136	15.912	21.351	478.17	10.521	12.656	0.025809	vapor
385.96	15.541	0.00090272	1107.8	2520.9	2695.3	72.067	15.932	21.383	478.46	10.447	12.677	0.025874	vapor
386.59	15.864	0.00092024	1086.7	2521.6	2696.2	71.999	15.952	21.415	478.75	10.373	12.699	0.025940	vapor
387.21	16.192	0.00093804	1066.0	2522.3	2697.2	71.930	15.973	21.447	479.04	10.301	12.720	0.026007	vapor
387.83	16.526	0.00095612	1045.9	2523.0	2698.1	71.862	15.993	21.479	479.33	10.229	12.742	0.026073	vapor
388.46	16.865	0.00097448	1026.2	2523.7	2699.0	71.794	16.014	21.512	479.62	10.158	12.764	0.026140	vapor
389.08	17.210	0.00099312	1006.9	2524.4	2700.0	71.727	16.035	21.545	479.90	10.088	12.785	0.026207	vapor
389.70	17.561	0.0010120	988.10	2525.1	2700.9	71.659	16.056	21.578	480.19	10.018	12.807	0.026274	vapor
390.33	17.917	0.0010313	969.68	2525.8	2701.8	71.592	16.077	21.612	480.47	99.495	12.829	0.026342	vapor
390.95	18.280	0.0010508	951.68	2526.4	2702.7	71.525	16.099	21.646	480.75	98.816	12.850	0.026410	vapor
391.57	18.648	0.0010706	934.07	2527.1	2703.6	71.459	16.121	21.681	481.03	98.143	12.872	0.026478	vapor
392.20	19.023	0.0010907	916.84	2527.8	2704.5	71.392	16.143	21.716	481.31	97.478	12.893	0.026547	vapor
392.82	19.403	0.0011111	900.00	2528.5	2705.4	71.326	16.165	21.751	481.59	96.820	12.915	0.026615	vapor
393.44	19.790	0.0011318	883.52	2529.2	2706.4	71.260	16.187	21.786	481.86	96.168	12.937	0.026684	vapor
394.07	20.183	0.0011529	867.40	2529.9	2707.3	71.195	16.210	21.822	482.14	95.524	12.958	0.026753	vapor
394.69	20.583	0.0011742	851.63	2530.5	2708.2	71.129	16.233	21.859	482.41	94.886	12.980	0.026823	vapor
395.31	20.989	0.0011959	836.20	2531.2	2709.0	71.064	16.255	21.895	482.68	94.254	13.001	0.026893	vapor
395.94	21.401	0.0012179	821.10	2531.9	2709.9	70.999	16.279	21.932	482.95	93.629	13.023	0.026963	vapor
396.56	21.820	0.0012402	806.33	2532.6	2710.8	70.934	16.302	21.970	483.22	93.010	13.045	0.027033	vapor
397.18	22.246	0.0012628	791.87	2533.2	2711.7	70.870	16.326	22.007	483.48	92.397	13.066	0.027104	vapor
397.81	22.678	0.0012858	777.72	2533.9	2712.6	70.806	16.349	22.046	483.75	91.790	13.088	0.027175	vapor
398.43	23.117	0.0013091	763.87	2534.6	2713.5	70.742	16.373	22.084	484.01	91.189	13.109	0.027246	vapor
399.05	23.563	0.0013328	750.32	2535.2	2714.4	70.678	16.398	22.123	484.28	90.594	13.131	0.027317	vapor
399.68	24.016	0.0013568	737.05	2535.9	2715.2	70.614	16.422	22.162	484.54	90.004	13.152	0.027389	vapor
400.30	24.477	0.0013811	724.06	2536.5	2716.1	70.551	16.447	22.202	484.80	89.420	13.174	0.027461	vapor
400.92	24.944	0.0014058	711.34	2537.2	2717.0	70.488	16.472	22.242	485.06	88.842	13.196	0.027534	vapor
401.54	25.418	0.0014308	698.89	2537.9	2717.9	70.425	16.497	22.283	485.31	88.269	13.217	0.027606	vapor
402.17	25.900	0.0014562	686.70	2538.5	2718.7	70.363	16.522	22.323	485.57	87.701	13.239	0.027679	vapor
402.79	26.389	0.0014820	674.77	2539.2	2719.6	70.300	16.547	22.365	485.82	87.139	13.260	0.027752	vapor
403.41	26.886	0.0015081	663.08	2539.8	2720.4	70.238	16.573	22.406	486.07	86.582	13.282	0.027826	vapor
404.04	27.390	0.0015346	651.63	2540.5	2721.3	70.176	16.599	22.448	486.32	86.030	13.303	0.027900	vapor
404.66	27.902	0.0015615	640.41	2541.1	2722.2	70.114	16.625	22.491	486.57	85.483	13.325	0.027974	vapor
405.28	28.422	0.0015887	629.43	2541.7	2723.0	70.053	16.651	22.534	486.82	84.940	13.346	0.028049	vapor
405.91	28.949	0.0016164	618.67	2542.4	2723.8	69.991	16.678	22.577	487.07	84.403	13.368	0.028123	vapor
406.53	29.485	0.0016444	608.13	2543.0	2724.7	69.930	16.705	22.620	487.31	83.870	13.389	0.028198	vapor
407.15	30.028	0.0016728	597.80	2543.6	2725.5	69.869	16.732	22.665	487.56	83.342	13.411	0.028274	vapor
407.78	30.579	0.0017016	587.69	2544.3	2726.4	69.808	16.759	22.709	487.80	82.819	13.432	0.028350	vapor
408.40	31.139	0.0017308	577.77	2544.9	2727.2	69.748	16.786	22.754	488.04	82.300	13.454	0.028426	vapor
409.02	31.707	0.0017604	568.06	2545.5	2728.0	69.688	16.814	22.799	488.28	81.786	13.475	0.028502	vapor
409.65	32.283	0.0017904	558.54	2546.2	2728.9	69.627	16.842	22.845	488.51	81.275	13.497	0.028579	vapor
