Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
588.512693333	10.6077244507	37.6527305821	0.0265584988005	25.5522377226	25.8339629597	61.3126576201	54.8099572033	113.659179479	821.470739663	0.334278527809	80.0718200567	0.528015992203	0.0108891714105	3.31443302808	0.301710727454	45.6940644791	48.8945287398	100.497140880	56.9992599880	136.866407683	468.755893851	9.56629094063	20.4647917821	0.0818922815836
589.135920000	10.6967670392	37.5706945938	0.0266164895489	25.6168275246	25.9015379127	61.4233995221	54.8087348548	114.175169062	817.717766014	0.340196793695	79.8359881892	0.526957758001	0.0107507273055	3.34974358189	0.298530313009	45.6700892024	48.8633984148	100.398888408	57.1503705176	138.136428502	468.195822303	9.51744647108	20.5048703756	0.0824333886514
589.759146667	10.7863891536	37.4881340732	0.0266751073299	25.6816104643	25.9693385526	61.5343722095	54.8081260864	114.701910865	813.948966990	0.346213784130	79.5999114710	0.525894571620	0.0106124977144	3.38548995581	0.295378220894	45.6457524289	48.8318168670	100.300160656	57.3023569886	139.432767046	467.629350866	9.46873275682	20.5453432278	0.0829838845413
590.382373333	10.8765938338	37.4050403746	0.0267343649408	25.7465897992	26.0373686281	61.6455811988	54.8081459054	115.239749826	810.164160056	0.352331948031	79.3635709148	0.524826388413	0.0104744866338	3.42168028775	0.292254072825	45.6210484312	48.7997772776	100.200947479	57.4552331953	140.756268788	467.056399767	9.42014622875	20.5862197847	0.0835440500860
591.005600000	10.9673841448	37.3214046105	0.0267942755756	25.8117688775	26.1056319906	61.7570321571	54.8088098964	115.789046294	806.363156158	0.358553819249	79.1269471599	0.523753162913	0.0103366981303	3.45832295314	0.289157494413	45.5959713257	48.7672726452	100.101238464	57.6090133567	142.107815992	466.476887116	9.37168328120	20.6275097935	0.0841141769743
591.628826667	11.0587631766	37.2372176416	0.0268548528417	25.8771511413	26.1741325990	61.8687309093	54.8101342507	116.350176954	802.545759262	0.364882020700	78.8900204540	0.522674848840	0.0101991363425	3.49542657452	0.286088115050	45.5705150672	48.7342957792	100.001022920	57.7637121368	143.488329754	465.890728817	9.32334027004	20.6692233150	0.0846945682608
592.252053333	11.1507340455	37.1524700663	0.0269161107785	25.9427401311	26.2428745239	61.9806834440	54.8121357992	116.923535812	798.711765845	0.371319268768	78.6527706332	0.521591399101	0.0100618054838	3.53300003154	0.283045567810	45.5446734425	48.7008392919	99.9002898710	57.9193446662	144.898772173	465.297838477	9.27511351066	20.7113707374	0.0852855389033
592.875280000	11.2432998943	37.0671522095	0.0269780638758	26.0085394894	26.3118619521	62.0928959210	54.8148320458	117.509535257	794.860964362	0.377868378010	78.4151771020	0.520502765804	0.00992470984385	3.57105247156	0.280029489335	45.5184400633	48.6668955911	99.7990280422	58.0759265655	146.340148682	464.698127305	9.22699927588	20.7539627900	0.0858874163308
593.498506667	11.3364638928	36.9812541104	0.0270407270942	26.0745529655	26.3810991918	62.2053746789	54.8182412044	118.108607215	790.993134652	0.384532266174	78.1772188101	0.519408900265	0.00978785379153	3.60959332079	0.277039519727	45.4918083598	48.6324568720	99.6972258466	58.2334739698	147.813510530	464.091504013	9.17899379375	20.7970105587	0.0865005410449
594.121733333	11.4302292391	36.8947655103	0.0271041158866	26.1407844202	26.4505906781	62.3181262424	54.8223822382	118.721204381	787.108047306	0.391313959566	77.9388742298	0.518309753025	0.00965124177709	3.64863229597	0.274075302437	45.4647715731	48.5975151087	99.5948713740	58.3920035544	149.319957445	463.477874702	9.13109324528	20.8405255009	0.0871252672548
594.744960000	11.5245991594	36.8076758390	0.0271682462205	26.2072378306	26.5203409782	62.4311573319	54.8272749016	119.347801563	783.205462977	0.398216598799	77.7001213303	0.517205273869	0.00951487833479	3.68817941676	0.271136484157	45.4373227475	48.5620620450	99.4919523772	58.5515325633	150.860640481	462.857142746	9.08329376200	20.8845194630	0.0877619635508
595.368186667	11.6195769094	36.7199742001	0.0272331346027	26.2739172957	26.5903547977	62.5444748715	54.8329397857	119.988897122	779.285131637	0.405243444939	77.4609375509	0.516095411848	0.00937876808563	3.72824501876	0.268222714700	45.4094547227	48.5260891850	99.3884562575	58.7120788383	152.436765078	462.229208672	9.03559142349	20.9290046973	0.0884110136168
595.991413333	11.7151657746	36.6316493562	0.0272987981042	26.3408270416	26.6606369869	62.6580859993	54.8393983669	120.645014543	775.346791779	0.412397886095	77.2212997721	0.514980115306	0.00924291574007	3.76883976725	0.265333646893	45.3811601246	48.4895877835	99.2843700501	58.8736608510	154.049594337	461.593970028	8.98798225468	20.9739938807	0.0890728169862
596.614640000	11.8113690711	36.5426897121	0.0273652543881	26.4079714283	26.7311925476	62.7719980773	54.8466730592	121.316704132	771.390169547	0.419683444485	76.9811842853	0.513859331914	0.00910732610098	3.80997467173	0.262468936453	45.3524313567	48.4525488348	99.1796804085	59.0362977364	155.700452541	460.951321244	8.94046222312	21.0195001343	0.0897477898431
597.237866667	11.9081901466	36.4530832977	0.0274325217385	26.4753549555	26.8020266406	62.8862187029	54.8547872710	122.004544848	767.414977807	0.427103784017	76.7405667591	0.512733008708	0.00897200406673	3.85166110122	0.259628241873	45.3232605906	48.4149630622	99.0743735871	59.2000093288	157.390728937	460.301153488	8.89302723605	21.0655370444	0.0904363658736
597.861093333	12.0056323810	36.3628177487	0.0275006190915	26.5429822698	26.8731445928	63.0007557199	54.8637654656	122.709146306	763.420915144	0.434662718424	76.4994222047	0.511601092137	0.00883695463434	3.89391080056	0.256811224298	45.2936397556	48.3768209058	98.9684354247	59.3648162008	159.121881812	459.643354506	8.84567313727	21.1121186840	0.0911389971690
598.484320000	12.1036991872	36.2718802873	0.0275695660682	26.6108581721	26.9445519065	63.1156172317	54.8736332276	123.431150941	759.407664781	0.442364220007	76.2577249372	0.510463528114	0.00870218290285	3.93673590750	0.254017547404	45.2635605283	48.3381125104	98.8618513250	59.5307397042	160.895442870	458.977808463	8.79839570399	21.1592596364	0.0918561551866
599.107546667	12.2023940119	36.1802577001	0.0276393830107	26.6789876254	27.0162542671	63.2308116144	54.8844173337	124.171236368	755.374893427	0.450212429031	76.0154485352	0.509320262079	0.00856769407683	3.98014897090	0.251246877268	45.2330143212	48.2988277119	98.7546062373	59.6978020145	162.713021964	458.304395761	8.75119064331	21.2069750198	0.0925883317716
599.730773333	12.3017203366	36.0879363152	0.0277100910195	26.7473757635	27.0882575537	63.3463475317	54.8961458304	124.930117947	751.322250027	0.458211663822	75.7725657969	0.508171239073	0.00843349347002	4.02416297003	0.248498882239	45.2019922708	48.2589560241	98.6466846357	59.8660261776	164.576312187	457.622992856	8.70405358865	21.2552805134	0.0933360402450
600.354000000	12.4016816785	35.9949019773	0.0277817119944	26.8160279000	27.1605678486	63.4622339496	54.9088481172	125.708551575	747.249364437	0.466366431633	75.5290486927	0.507016403818	0.00829958650925	4.06879133494	0.245773232805	45.1704852247	48.2184866231	98.5380704968	60.0354361617	166.487095384	456.933472058	8.65698009595	21.3041923853	0.0940998165627
600.977226667	12.5022815914	35.9011400211	0.0278542686781	26.8849495379	27.2331914485	63.5784801538	54.9225550377	126.507336737	743.155846000	0.474681440338	75.2848683144	0.505855700815	0.00816597873841	4.11404796819	0.243069601456	45.1384837285	48.1774083322	98.4287472762	60.2060569107	168.447248103	456.235701317	8.60996563954	21.3537275223	0.0948802205516
601.600453333	12.6035236666	35.8066352426	0.0279277847032	26.9541463806	27.3061348760	63.6950957673	54.9372989784	127.327319828	739.041282024	0.483161611013	75.0399948202	0.504689074452	0.00803267582275	4.15994726781	0.240387662540	45.1059780113	48.1357096053	98.3186978837	60.3779144036	170.458748040	455.529543998	8.56300560792	21.4039034609	0.0956778372292
602.223680000	12.7054115337	35.7113718677	0.0280022846421	27.0236243426	27.3794048929	63.8120907695	54.9531139761	128.169397782	734.905236161	0.491812091489	74.7943973760	0.503516469129	0.00789968355330	4.20650415186	0.237727092117	45.0729579707	48.0933785087	98.2079046569	60.5510357174	172.523681020	454.814858642	8.51609529916	21.4547384209	0.0964932782127
602.846906667	12.8079488622	35.6153335195	0.0280777940617	27.0933895623	27.4530085128	63.9294755172	54.9700358350	129.034522044	730.747246684	0.500638270942	74.5480440909	0.502337829405	0.00776700785161	4.25373408438	0.235087567808	45.0394131564	48.0504027031	98.0963493328	60.7254490947	174.644248575	454.091498701	8.46922991603	21.5062513415	0.0973271832263
603.470133333	12.9111393619	35.5185031815	0.0281543395816	27.1634484148	27.5269530168	64.0472607666	54.9881022544	129.923702912	726.566824645	0.509645795615	74.3009019488	0.501153100157	0.00763465477463	4.30165310319	0.232468768637	45.0053327535	48.0067694227	97.9840130178	60.9011840172	176.822776165	453.359312270	8.42240456088	21.5584619187	0.0981802217141
604.093360000	13.0149867846	35.4208631590	0.0282319489367	27.2338075261	27.6012459684	64.1654576979	55.0073529682	130.838014287	722.363451934	0.518840585749	74.0529367334	0.499962226769	0.00750263051994	4.35027784937	0.229870374864	44.9707055638	47.9624654549	97.8708761559	61.0782712846	179.061722131	452.618141786	8.37561423013	21.6113906462	0.0990530945689
604.716586667	13.1194949246	35.3223950371	0.0283106510459	27.3044737884	27.6758952311	64.2840779408	55.0278298974	131.778598886	718.136579215	0.528228853827	73.8041129483	0.498765155344	0.00737094143122	4.39962559885	0.227292067821	44.9355199865	47.9174771167	97.7569184943	61.2567430994	181.363687425	451.867823713	8.32885380835	21.6650588591	0.0999465359848
605.339813333	13.2246676203	35.2230796347	0.0283904760847	27.3754543767	27.7509089865	64.4031336028	55.0495773170	132.746673958	713.885623746	0.537817124224	73.5543937292	0.497561832950	0.00723959400401	4.44971429599	0.224733529724	44.8997639973	47.8717902310	97.6421190474	61.4366331600	183.731426233	451.108188206	8.28211806204	21.7194887795	0.100861315449
605.963040000	13.3305087553	35.1228969557	0.0284714555653	27.4467567669	27.8262957545	64.5226372996	55.0726420390	133.743537551	709.609967081	0.547612254386	73.3037407500	0.496352207889	0.00710859489183	4.50056258959	0.222194443493	44.8634251263	47.8253901006	97.5264560575	61.6179767593	186.167857562	450.339058741	8.23540163287	21.7747035668	0.101798239878
606.586266667	13.4370222595	35.0218261351	0.0285536224223	27.5183887543	27.9020644144	64.6426021881	55.0970736131	134.770575409	705.308952652	0.557621457636	73.0521141208	0.495136230019	0.00697795091256	4.55218987135	0.219674492554	44.8264904342	47.7782614805	97.4099069531	61.8008108936	188.676077900	449.560251730	8.18869903048	21.8307273704	0.102758155924
607.209493333	13.5442121104	34.9198453814	0.0286370111058	27.5903584754	27.9782242280	64.7630420012	55.1229245470	135.829268549	700.981883234	0.567852327736	72.7994711782	0.493913851289	0.00684766905532	4.60461631708	0.217173360632	44.7889464870	47.7303885481	97.2924483048	61.9851743795	191.259375088	448.771576096	8.14200462480	21.8875853871	0.103741952452
607.832720000	13.6520823348	34.8169319139	0.0287216576829	27.6626744301	28.0547848656	64.8839710873	55.1502505491	136.921201603	696.628018286	0.578312865348	72.5457715624	0.492685025282	0.00671775648760	4.65786293085	0.214690731532	44.7507793282	47.6817548716	97.1740557770	62.1711079809	193.921243506	447.972832825	8.09531263763	21.9453039222	0.104750563217
608.455946667	13.7606370093	34.7130618942	0.0288075999475	27.7353455062	28.1317564322	65.0054044511	55.1791107952	138.048072006	692.246571180	0.589011506508	72.2909682682	0.491449709147	0.00658822056288	4.71195159243	0.212226288913	44.7119744501	47.6323433757	97.0547040764	62.3586545477	196.665400754	447.163814473	8.04861713380	22.0039104549	0.105784969753
609.079173333	13.8698802625	34.6082103526	0.0288948775395	27.8083810059	28.2091494976	65.1273577991	55.2095682228	139.211700125	687.836706319	0.599957153277	72.0350139821	0.490207863050	0.00645906882875	4.76690510819	0.209779716043	44.6725167624	47.5821363054	96.9343668974	62.5478591663	199.495805989	446.344304643	8.00191201143	22.0634337096	0.106846204502
609.702400000	13.9798162761	34.5023511081	0.0289835320749	27.8817906749	28.2869751283	65.2498475888	55.2416898555	140.414040444	683.397536149	0.611159206719	71.7778591808	0.488959451071	0.00633030903543	4.82274726589	0.207350695541	44.6323905578	47.5311151861	96.8130168625	62.7387693236	202.416680114	445.514077417	7.95519099156	22.1239037319	0.107935354196
610.325626667	14.0904492860	34.3954566805	0.0290736072874	27.9555847331	28.3652449222	65.3728910812	55.2755471615	141.657193914	678.928118065	0.622627602355	71.5194519670	0.487704441884	0.00620194914488	4.87950289371	0.204938909102	44.5915794761	47.4792607815	96.6906254581	62.9314350862	205.432528041	444.672896742	7.90844760681	22.1853519709	0.109053563536
610.948853333	14.2017835845	34.2874981967	0.0291651491824	28.0297739091	28.4439710460	65.4965063991	55.3112164504	142.943421603	674.427451244	0.634372848287	71.2597378926	0.486442809545	0.00607399734045	4.93719792385	0.202544037210	44.5500664649	47.4265530477	96.5671629657	63.1259092959	208.548163289	443.820515762	7.86167518920	22.2478113679	0.110202039179
611.572080000	14.3138235212	34.1784452871	0.0292582062057	28.1043694762	28.5231662764	65.6207125890	55.3487793114	144.275159816	669.894473393	0.646406066134	70.9986597665	0.485174534383	0.00594646203719	4.99585946124	0.200165758816	44.5078337370	47.3729710837	96.4425983876	63.3222477843	211.768735199	442.956676097	7.81486685683	22.3113164523	0.111382054080
